ranking_date,rank,player,points
20220411,1204,207408,6
20220411,1204,105892,6
20220411,1206,106051,6
20220411,1207,134205,6
20220411,1207,206764,6
20220411,1207,208143,6
20220411,1207,106254,6
20220411,1207,208589,6
20220411,1212,132495,6
20220411,1213,208605,6
20220411,1213,144650,6
20220411,1215,133185,6
20220411,1216,209041,6
20220411,1216,207139,6
20220411,1216,106016,6
20220411,1216,207327,6
20220411,1216,208866,6
20220411,1221,200230,6
20220411,1222,206600,6
20220411,1223,202124,6
20220411,1223,144937,6
20220411,1225,126570,6
20220411,1226,209362,6
20220411,1227,208065,6
20220411,1228,126171,6
20220411,1228,208364,6
20220411,1230,200681,6
20220411,1231,123932,6
20220411,1232,200455,6
20220411,1232,132741,6
20220411,1234,207606,6
20220411,1235,127187,6
20220411,1235,207249,6
20220411,1237,105662,6
20220411,1238,208524,5
20220411,1239,144813,5
20220411,1239,202088,5
20220411,1241,208389,5
20220411,1242,106022,5
20220411,1243,210281,5
20220411,1243,144927,5
20220411,1245,127115,5
20220411,1246,105515,5
20220411,1247,104986,5
20220411,1248,138596,5
20220411,1249,144662,5
20220411,1250,126372,5
20220411,1250,208051,5
20220411,1252,126689,5
20220411,1253,207661,5
20220411,1253,105114,5
20220411,1253,209043,5
20220411,1253,202168,5
20220411,1257,200217,5
20220411,1257,209330,5
20220411,1259,121669,5
20220411,1259,106196,5
20220411,1259,206818,5
20220411,1262,208028,5
20220411,1262,210055,5
20220411,1262,210203,5
20220411,1265,106412,5
20220411,1265,104998,5
20220411,1267,133841,5
20220411,1268,210105,5
20220411,1269,202200,5
20220411,1269,209099,5
20220411,1269,208092,5
20220411,1269,200145,5
20220411,1273,208025,5
20220411,1273,207615,5
20220411,1275,208876,5
20220411,1275,127032,5
20220411,1275,105369,5
20220411,1275,202231,5
20220411,1275,132434,5
20220411,1280,202114,5
20220411,1280,207378,5
20220411,1280,106041,5
20220411,1280,208937,5
20220411,1280,106388,5
20220411,1285,207682,5
20220411,1285,134256,5
20220411,1285,144814,5
20220411,1288,126528,5
20220411,1288,128041,5
20220411,1290,133997,5
20220411,1291,126170,5
20220411,1292,207239,5
20220411,1293,209278,5
