ranking_date,rank,player,points
20220307,1215,208028,6
20220307,1216,208285,6
20220307,1216,209330,6
20220307,1216,207352,6
20220307,1219,206764,6
20220307,1219,121669,6
20220307,1221,207708,6
20220307,1222,122609,6
20220307,1223,200345,6
20220307,1223,106196,6
20220307,1225,207814,6
20220307,1226,209951,6
20220307,1227,121816,6
20220307,1228,144731,6
20220307,1229,202200,6
20220307,1229,209937,6
20220307,1229,208589,6
20220307,1232,210136,6
20220307,1233,207183,6
20220307,1234,209871,6
20220307,1234,106412,6
20220307,1234,208143,6
20220307,1234,132299,6
20220307,1238,208253,6
20220307,1239,144937,6
20220307,1239,202231,6
20220307,1239,200014,6
20220307,1242,133185,6
20220307,1243,209338,6
20220307,1244,206600,6
20220307,1245,207139,6
20220307,1245,202345,6
20220307,1247,126528,6
20220307,1248,200230,6
20220307,1249,144696,6
20220307,1250,202349,6
20220307,1250,105369,6
20220307,1250,208866,6
20220307,1253,208277,6
20220307,1254,208364,6
20220307,1254,208065,6
20220307,1256,126570,6
20220307,1257,208240,6
20220307,1257,202124,6
20220307,1259,200127,6
20220307,1259,200455,6
20220307,1261,208524,5
20220307,1262,144813,5
20220307,1262,202088,5
20220307,1264,208389,5
20220307,1265,210281,5
20220307,1266,120545,5
20220307,1267,127115,5
20220307,1268,105515,5
20220307,1269,138596,5
20220307,1269,124167,5
20220307,1271,144662,5
20220307,1272,126372,5
20220307,1272,208051,5
20220307,1274,126689,5
20220307,1274,210203,5
20220307,1276,105114,5
20220307,1276,209043,5
20220307,1276,202168,5
20220307,1279,209185,5
20220307,1280,206818,5
20220307,1280,110686,5
20220307,1282,108739,5
20220307,1282,200640,5
20220307,1284,210105,5
20220307,1285,200217,5
20220307,1286,125800,5
20220307,1286,207200,5
20220307,1286,208267,5
20220307,1289,132204,5
20220307,1289,133841,5
20220307,1291,105851,5
20220307,1291,208092,5
20220307,1291,200145,5
20220307,1294,208025,5
20220307,1295,202271,5
20220307,1295,104998,5
20220307,1295,126432,5
20220307,1298,207378,5
20220307,1298,123807,5
20220307,1298,106041,5
20220307,1298,208937,5
20220307,1298,106388,5
20220307,1303,105996,5
20220307,1303,208605,5
20220307,1303,105621,5
20220307,1303,144814,5
20220307,1303,209973,5
20220307,1308,128041,5
20220307,1308,205941,5
20220307,1308,105043,5
20220307,1308,207592,5
20220307,1312,209904,5
20220307,1312,132434,5
20220307,1312,134256,5
20220307,1315,209278,5
20220307,1315,209940,5
20220307,1317,210230,5
20220307,1317,129811,5
20220307,1317,133997,5
20220307,1320,207996,5
20220307,1320,111201,5
20220307,1322,208533,5
20220307,1322,200093,5
20220307,1324,200692,5
20220307,1324,207808,5
20220307,1326,200562,5
20220307,1327,111452,5
20220307,1327,207557,5
20220307,1329,200681,5
20220307,1330,104960,4
20220307,1331,207831,4
20220307,1331,122635,4
20220307,1331,210178,4
20220307,1334,126739,4
20220307,1335,200415,4
20220307,1336,105934,4
20220307,1337,210011,4
20220307,1338,208383,4
20220307,1338,105300,4
20220307,1338,104986,4
20220307,1341,207661,4
20220307,1342,209510,4
20220307,1342,105917,4
20220307,1342,209406,4
20220307,1345,104251,4
20220307,1345,208041,4
20220307,1345,207998,4
20220307,1345,106181,4
20220307,1345,209954,4
20220307,1345,200321,4
20220307,1345,202113,4
20220307,1352,105161,4
20220307,1353,208257,4
20220307,1353,208909,4
20220307,1355,126556,4
20220307,1355,133068,4
20220307,1357,105331,4
20220307,1357,200389,4
20220307,1357,126437,4
20220307,1357,125816,4
20220307,1361,202155,4
20220307,1361,105335,4
20220307,1361,202417,4
20220307,1361,126581,4
20220307,1365,200486,4
20220307,1365,202069,4
20220307,1365,145014,4
20220307,1368,133667,4
20220307,1368,207439,4
20220307,1368,126973,4
20220307,1368,105984,4
20220307,1368,209315,4
20220307,1373,200398,4
20220307,1374,122081,4
20220307,1374,209204,4
20220307,1376,105508,4
20220307,1376,122113,4
20220307,1376,207682,4
20220307,1376,210382,4
20220307,1376,144726,4
20220307,1376,200289,4
20220307,1382,202114,4
20220307,1382,210089,4
20220307,1382,206027,4
20220307,1382,121773,4
20220307,1386,207993,4
20220307,1387,105557,4
20220307,1387,209147,4
20220307,1389,200050,4
20220307,1389,206716,4
20220307,1389,210016,4
20220307,1389,126508,4
20220307,1393,208852,4
20220307,1393,208142,4
20220307,1393,144666,4
20220307,1396,105844,4
20220307,1396,208191,4
20220307,1396,126178,4
20220307,1396,202272,4
20220307,1396,207670,4
20220307,1396,209216,4
20220307,1402,209041,4
20220307,1402,132609,4
20220307,1402,202334,4
20220307,1402,126119,4
20220307,1402,208249,4
20220307,1407,122520,4
20220307,1407,207607,4
20220307,1407,207343,4
20220307,1407,208132,4
20220307,1407,132123,4
20220307,1407,207239,4
20220307,1413,134833,4
20220307,1413,208370,4
20220307,1415,202192,4
20220307,1415,105102,4
20220307,1415,208854,4
20220307,1415,106085,4
20220307,1415,122617,4
20220307,1415,127087,4
20220307,1421,201967,4
20220307,1422,134318,4
20220307,1422,104822,4
20220307,1422,105670,4
20220307,1425,206447,4
20220307,1425,126613,4
20220307,1427,126200,4
20220307,1427,106061,4
20220307,1427,208858,4
20220307,1430,132958,4
20220307,1431,209866,4
20220307,1432,108705,4
20220307,1433,208186,4
20220307,1434,209407,3
20220307,1434,105001,3
20220307,1434,202475,3
20220307,1434,208210,3
20220307,1434,210472,3
20220307,1434,105593,3
20220307,1434,208565,3
20220307,1441,207901,3
20220307,1441,209887,3
20220307,1441,117357,3
20220307,1441,106206,3
20220307,1445,210308,3
20220307,1445,122051,3
20220307,1445,210096,3
20220307,1445,210407,3
20220307,1445,104643,3
20220307,1445,209901,3
20220307,1445,208019,3
20220307,1452,208166,3
20220307,1453,105790,3
20220307,1453,200559,3
20220307,1453,106264,3
20220307,1453,106395,3
20220307,1457,210434,3
20220307,1457,210397,3
20220307,1459,206673,3
20220307,1459,210034,3
20220307,1461,106391,3
20220307,1461,200660,3
20220307,1461,105990,3
20220307,1461,210348,3
20220307,1461,103220,3
20220307,1461,210315,3
20220307,1461,210012,3
20220307,1468,126711,3
20220307,1469,209893,3
20220307,1469,127158,3
20220307,1471,200748,3
20220307,1471,137230,3
